num_genero,genero,titulo,tipo,archivo_mp3,ficha_letra,url
001,Sentimiento_Musical_Multilingue,조용한 저녁 KOREANO V1,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/001-조용한_저녁_KOREANO_V1.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/001-조용한_저녁_KOREANO_V1.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139882/%EC%A1%B0%EC%9A%A9%ED%95%9C_%EC%A0%80%EB%85%81_KOREANO_V1_mpztc8.mp3
002,Sentimiento_Musical_Multilingue,夕暮れの約束 JAPANESE V2,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/002-夕暮れの約束_JAPANESE_V2.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/002-夕暮れの約束_JAPANESE_V2.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139885/%E5%A4%95%E6%9A%AE%E3%82%8C%E3%81%AE%E7%B4%84%E6%9D%9F_JAPANESE_V2_ctldtv.mp3
003,Sentimiento_Musical_Multilingue,夕暮れの約束 JAPANESE V1,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/003-夕暮れの約束_JAPANESE_V1.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/003-夕暮れの約束_JAPANESE_V1.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139885/%E5%A4%95%E6%9A%AE%E3%82%8C%E3%81%AE%E7%B4%84%E6%9D%9F_JAPANESE_V1_s53kiu.mp3
004,Sentimiento_Musical_Multilingue,你是风雨中的阳光 CHINA V1,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/004-你是风雨中的阳光_CHINA_V1.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/004-你是风雨中的阳光_CHINA_V1.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139881/%E4%BD%A0%E6%98%AF%E9%A3%8E%E9%9B%A8%E4%B8%AD%E7%9A%84%E9%98%B3%E5%85%89_CHINA_V1_scdltf.mp3
005,Sentimiento_Musical_Multilingue,तू मेरा प्यार HINDI V2,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/005-त_मर_पयर_HINDI_V2.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/005-त_मर_पयर_HINDI_V2.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139884/%E0%A4%A4%E0%A5%82_%E0%A4%AE%E0%A5%87%E0%A4%B0%E0%A4%BE_%E0%A4%AA%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B0_HINDI_V2_eepv8l.mp3
006,Sentimiento_Musical_Multilingue,तू मेरा प्यार HINDI V1,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/006-त_मर_पयर_HINDI_V1.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/006-त_मर_पयर_HINDI_V1.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139884/%E0%A4%A4%E0%A5%82_%E0%A4%AE%E0%A5%87%E0%A4%B0%E0%A4%BE_%E0%A4%AA%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B0_HINDI_V1_ddvltf.mp3
007,Sentimiento_Musical_Multilingue,أنت النور ÁRABE V2,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/007-أنت_النور_ÁRABE_V2.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/007-أنت_النور_ÁRABE_V2.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139884/%D8%A3%D9%86%D8%AA_%D8%A7%D9%84%D9%86%D9%88%D8%B1_%C3%81RABE_V2_hj13qv.mp3
008,Sentimiento_Musical_Multilingue,أنت النور ÁRABE V1,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/008-أنت_النور_ÁRABE_V1.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/008-أنت_النور_ÁRABE_V1.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139883/%D8%A3%D9%86%D8%AA_%D8%A7%D9%84%D9%86%D9%88%D8%B1_%C3%81RABE_V1_mztj9z.mp3
009,Sentimiento_Musical_Multilingue,אור בסערה HEBREO V2,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/009-אור_בסערה_HEBREO_V2.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/009-אור_בסערה_HEBREO_V2.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139877/%D7%90%D7%95%D7%A8_%D7%91%D7%A1%D7%A2%D7%A8%D7%94_HEBREO_V2_pylst9.mp3
010,Sentimiento_Musical_Multilingue,אור בסערה HEBREO V1,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/010-אור_בסערה_HEBREO_V1.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/010-אור_בסערה_HEBREO_V1.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139876/%D7%90%D7%95%D7%A8_%D7%91%D7%A1%D7%A2%D7%A8%D7%94_HEBREO_V1_ws7uou.mp3
